smiles,pIC50
O=C(Nc1ccc2c(c1)CNC2)c1cc(Cl)cc2cn[nH]c12,4.37809703910877
O=C1Cc2c(cc(Br)cc2C(=O)Nc2ccc3c(c2)CNC3)N1,4.7483861104564085
O=C(NCC(F)F)[C@H](Nc1ccc2c(c1)CNC2)c1cc(Cl)cc(C2CC2)c1,4.6231129433359515
O=C(Nc1ccc2c(c1)CNC2)c1cc(F)cc2[nH]c(-c3ccccc3)nc12,5.447575154295914
CC(C)NC(=O)[C@H](Nc1ccc2c(c1)CNC2)c1cc(Cl)cc2[nH]ncc12,4.5823290586748895
N#Cc1cccc(-c2nc3c(C(=O)Nc4ccc5c(c4)CNC5)cc(F)cc3[nH]2)c1,5.636952405478906
NCc1cccc(-c2csc3cc(C(=O)Nc4ccc5c(c4)CNC5)ccc23)c1,4.525973234584671
CC(C)c1nnc(-c2nc3c(C(=O)Nc4ccc5c(c4)CNC5)cc(F)cc3[nH]2)s1,4.965853022893954
O=C(Nc1ccc2c(c1)CNC2)c1cccc2c(C3CNC3)n[nH]c12,5.032920265855503
N=C(N)NCCC[C@H](NC(=O)c1nccs1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C(N)=O)c1ccc(OCc2ccc(C(F)(F)F)cc2)cc1,5.825358807339551
CC(C)CNC(=O)c1cc(Cl)ccc1NS(=O)(=O)c1ccc(Oc2ccccc2Cl)cc1,4.916819995870023
O=C(Nc1ccc2c(c1)CNC2)c1cc(Cl)cc2ccncc12,4.1563686265828705
N=C(N)NCCC[C@H](NC(=O)c1nccs1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C(N)=O)c1ccc(OCc2ccc(C(F)(F)F)cc2)cc1,5.653842697767992
O=C(Nc1ccc2c(c1)CNC2)c1cc(F)cc2[nH]c(-c3ccccc3F)nc12,5.4629368572183825
Clc1cc([C@@H]2C[C@H]2c2cccc(C3CCNCC3)c2)c2cn[nH]c2c1,5.190574971202966
O=C(Nc1ccc2c(c1)CNC2)c1cccc2[nH]c(C(F)(F)F)cc12,4.498064812651027
O=C(Nc1ccc2c(c1)CNC2)c1cc(Cl)cc2nn(-c3ccccc3)nc12,5.32550628270365
O=C(Nc1cc2c(cc1Br)CNC2)c1cc(F)cc2[nH]ncc12,4.662361067818591
O=C(Nc1ccc2c(c1)CNC2)c1ccc2[nH]cc(C3CCNCC3)c2c1,4.534022631714177
CC(C)NC(=O)[C@H](Nc1ccc2c(c1)CNC2)c1cc(Cl)cc2[nH]c(-c3ccccc3)nc12,5.151072286772922
O=C1Cc2cc(C(=O)Nc3ccc4c(c3)CNC4)ccc2N1,5.14697138528701
O=C(Nc1ccc2c(c1)CNC2)c1cc(Br)cc2[nH]ccc12,4.350674878941462
N=C(N)NCCC[C@H](NC(=O)c1nccs1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C(N)=O)c1ccc(OCc2ccc(C(F)(F)F)cc2)cc1,5.6113660306482105
O=C1Cc2c(cc(F)cc2C(=O)Nc2ccc3c(c2)CNC3)N1,5.065956280964475
O=C1Cc2c(cccc2C(=O)Nc2ccc3c(c2)CNC3)N1,4.846703550644695
Cc1c(C(=O)Nc2cc(CCCN)ccn2)cc(C2CC2)n1C,4.462508322709204
N=C(N)NCCC[C@H](NC(=O)c1nccs1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C(N)=O)c1ccc(OCc2ccc(C(F)(F)F)cc2)cc1,5.630969778190847
O=C(Nc1cc(Cl)cc([C@H](C#CCO)Nc2cccc(-c3nn[nH]n3)c2)c1)OCc1ccccc1,4.924818145381308
O=C(Nc1cc(Cl)cc(C(=O)Nc2cccc([C@H]3C[C@H]3C(=O)O)c2)c1)OCc1ccccc1,4.645526599414188
O=C(Nc1cc(Cl)cc(C(=O)Nc2cccc(-n3nn[nH]c3=O)c2)c1)OCc1ccccc1,4.977819160586335
C=CC[C@H]1NCc2cc(NC(=O)c3cc(F)cc4[nH]ncc34)ccc21,4.490233127221613
O=C(Nc1ccc2c(c1)CNC2)c1cc(Cl)cc(C(F)(F)F)n1,4.983008421793795
N=C(N)NCCC[C@H](NC(=O)c1nccs1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C(N)=O)c1ccc(OCc2ccc(C(F)(F)F)cc2)cc1,5.786747947803604
N=C(N)NCCC[C@H](NC(=O)[C@H](Cc1ccc(CN)cc1)NC(=O)c1ccccc1)B(O)O,6.086716098239582
N#C[C@H](Nc1cccc(-c2nn[nH]n2)c1)c1cc(Cl)cc(NC(=O)OCc2ccccc2)c1,5.018271974638384
CNC(=O)[C@H](Nc1cc(Cl)cc(NC(=O)OCc2ccccc2)c1)c1cccc(-c2nn[nH]n2)c1,4.39387670827437
CCc1cc(C(=O)Nc2cccc(-n3nn[nH]c3=O)c2)sc1-c1ccc(Cl)cc1,4.924380054071224
O=C(NCC(F)F)[C@H](Nc1ccc2c(c1)CNC2)c1cc(F)cc2[nH]ncc12,4.0282974902667785
C=CC[C@H]1NCc2cc(N[C@H](C(=O)NC(C)C)c3cc(Cl)cc4[nH]ncc34)ccc21,4.258911461186354
O=C(Nc1ccc2c(c1)CNC2)c1cc(Br)cc2[nH]c(-c3ccccc3)nc12,5.831207979685818
Cn1cc(CCc2nc3c(C(=O)Nc4ccc5c(c4)CNC5)cc(Cl)cc3[nH]2)cn1,4.62510508143302
O=C1Cc2cc(C(=O)Nc3ccc4c(c3)CNC4)ccc2N1,5.264321274094096
O=C(Nc1ccc2c(c1)CNC2)c1cccc2cn[nH]c12,4.428652260058297
N#Cc1cc2c(cc1NC(=O)c1cc(F)cc3[nH]ncc13)CNC2,5.268411234813262
O=C(Nc1cc2c(c(C3=CCS(=O)(=O)CC3)c1)CNC2)c1cc(F)cc2[nH]ncc12,4.894081259713627
NCc1csc2cc(C(=O)Nc3ccc4c(c3)CNC4)ccc12,5.042392712939905
O=C(NC1CCOCC1)[C@H](Nc1ccc2c(c1)CNC2)c1cc(Cl)cc2[nH]ncc12,4.357862065344219
O=C(Nc1ccc2c(c1)CNC2)c1cccc(-c2cnco2)c1,4.632625440125803
Cn1cc(CCc2nc3c(C(=O)Nc4ccc5c(c4)CNC5)cc(Cl)cc3[nH]2)cn1,4.578215154784748
NCc1csc2cc(C(=O)Nc3ccc4c(c3)CNC4)ccc12,4.928486194904911
Cc1ccccc1-c1nc2c(C(=O)Nc3ccc4c(c3)CNC4)cc(F)cc2[nH]1,5.489053051327027
N#Cc1ccc(-c2nc3c(C(=O)Nc4ccc5c(c4)CNC5)cc(F)cc3[nH]2)cc1,5.717377887121938
N=C(N)NCCC[C@H](NC(=O)[C@H](Cc1ccc(CN)cc1)NC(=O)c1ccccc1)B(O)O,6.100726812682396
Cc1ccc(NC(=O)c2cc(Cl)cc(NC(=O)OCc3ccccc3)c2)cc1CN,4.150568300818681
O=C(Nc1cc(Cl)cc(C(=O)Nc2cccc(-n3nn[nH]c3=O)c2)c1)OCc1ccccc1,4.855519199097251
O=C(Nc1cc(Cl)cc([C@H]2C[C@@H]2c2cccc(C3CCNCC3)c2)c1)OCc1ccccc1,5.258927227626678
O=C(Nc1cc2c(c(C3=CCOCC3)c1)CNC2)c1cc(F)cc2[nH]ncc12,4.5239803539286845
NCc1cccc(-c2csc3cc(C(=O)Nc4ccc5c(c4)CNC5)ccc23)c1,4.359270181849286
CC(C)NC(=O)[C@H](Nc1ccc2c(c1)CNC2)c1cc(Cl)cc2[nH]c(-c3ccccc3)nc12,5.358129454523687
NCc1ccc(-c2csc3cc(C(=O)Nc4ccc5c(c4)CNC5)ccc23)cc1,4.273802741596726
N=C(N)NCCC[C@H](NC(=O)c1nccs1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C(N)=O)c1ccc(OCc2ccc(C(F)(F)F)cc2)cc1,5.83238732727247
O=C(Nc1cc(Cl)cc(C(=O)Nc2ccc3c(c2)CCNC3)c1)OCc1ccccc1,4.493251506232925
N=C(N)NCCC[C@H](NC(=O)[C@H](Cc1ccc(CN)cc1)NC(=O)c1ccccc1)B(O)O,6.298432014944073
CC(C)CNC(=O)c1cc(Cl)ccc1NS(=O)(=O)c1ccc(Oc2ccccc2Cl)cc1,4.823272242355811
O=C(Nc1cc(Cl)cc(C(=O)Nc2cccc([C@H]3C[C@H]3C(=O)O)c2)c1)OCc1ccccc1,4.483504289511863
N[C@H]1CC[C@H](c2ccc(NC(=O)c3cc(Cl)cc(NC(=O)OCc4ccccc4)c3)cc2)C1,5.117077209397402
Cc1c(C(=O)Nc2cc(CCCN)ccn2)cc(C2CC2)n1C,4.4064149045461045
Clc1ccc2[nH]cc(Cc3ccc(-c4nn[nH]n4)cc3)c2c1,4.003751085430868
O=C(Nc1cc(Cl)cc(C(=O)Nc2ccc3c(c2)CNC3)c1)OCc1ccccc1,4.039705259187824
CC(C)(c1nc2c(C(=O)Nc3ccc4c(c3)CNC4)cc(F)cc2[nH]1)S(C)(=O)=O,4.744630995733559
O=C(Nc1ccc2c(c1)CNC2)c1cc(F)cc2[nH]c(-c3cccc(F)c3)nc12,5.4279420100736955
N=C(N)NCCC[C@H](NC(=O)c1nccs1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C(N)=O)c1ccc(OCc2ccc(C(F)(F)F)cc2)cc1,5.975925012692574
O=C1Cc2c(cccc2C(=O)Nc2ccc3c(c2)CNC3)N1,4.820046270368452
CC(C)c1nnc(-c2nc3c(C(=O)Nc4ccc5c(c4)CNC5)cc(F)cc3[nH]2)s1,5.0060790411987135
O=C(Nc1ccc2c(c1)CNC2)c1cc(Br)cc2[nH]c(=O)[nH]c12,4.412625827926934
C=CC[C@H](Nc1cc(Cl)cc(NC(=O)OCc2ccccc2)c1)c1cccc(-c2nn[nH]n2)c1,5.109132061188559
N#C[C@H](Nc1cccc(-c2nn[nH]n2)c1)c1cc(Cl)cc(NC(=O)OCc2ccccc2)c1,4.9049702033515485
NCc1cccc(NC(=O)c2cc(Cl)cc(NC(=O)OCc3ccccc3)c2)c1,4.461288057883088
O=C(Nc1cc(Cl)cc([C@H]2CN(Cc3ccccc3)C[C@@H]2c2cccc(-c3nn[nH]n3)c2)c1)OCc1ccccc1,5.165325025537256
O=C(Nc1cc(Cl)cc([C@H](C#CCO)Nc2cccc(-c3nn[nH]n3)c2)c1)OCc1ccccc1,4.798247937221748
NCc1cccc([C@H]2C[C@@H]2c2cc(Cl)cc(NC(=O)OCc3ccccc3)c2)c1,5.100343619694365
O=C1Cc2c(cc(F)cc2C(=O)Nc2ccc3c(c2)CNC3)N1,4.270244129567943
O=C(Nc1ccc2c(c1)CNC2)c1cc(F)cc2[nH]c(-c3ccccc3)nc12,5.267204301710671
O=C(Nc1ccc2c(c1)CNC2)c1cc(Cl)cc(C(F)(F)F)n1,4.63887682051155
O=C(Nc1cc2c(c(C3=CCS(=O)(=O)CC3)c1)CNC2)c1cc(F)cc2[nH]ncc12,4.301134238849321
COc1cccc(-c2nc3c(C(=O)Nc4ccc5c(c4)CNC5)cc(F)cc3[nH]2)c1,5.274006741075278
O=C(Nc1ccc2c(c1)CNC2)c1cccc2c(C3CNC3)n[nH]c12,4.492481444423576
O=C(Nc1ccc2c(c1)CNC2)c1cc(F)cc2[nH]c(-c3ccccc3F)nc12,5.2813322646837895
COc1cc(-c2cc(NC(=O)c3cc(F)cc4[nH]ncc34)cc3c2CNC3)ccn1,4.371795045398399
O=C(Nc1ccc2c(c1)CNC2)c1ccc2c(C3=CCNCC3)csc2c1,4.1547096721472085
N=C(N)NCCC[C@H](NC(=O)c1nccs1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C(N)=O)c1ccc(OCc2ccc(C(F)(F)F)cc2)cc1,5.5892227666227905
O=C(Nc1ccc2c(c1)CNC2)c1cccc2[nH]c(=O)[nH]c12,4.127896195526192
O=C1Cc2c(cc(Br)cc2C(=O)Nc2ccc3c(c2)CNC3)N1,4.055769094204825
O=C(Nc1ccc2c(c1)CNC2)c1cc(Br)cc2[nH]c(-c3ccccc3)nc12,5.5292955702772115
O=C1Cc2cc(C(=O)Nc3ccc4c(c3)CNC4)ccc2N1,5.0858684873691065
O=C(Nc1ccc2c(c1)CNC2)c1cccc2cn[nH]c12,4.3470577980080085
N#Cc1cc2c(cc1NC(=O)c1cc(F)cc3[nH]ncc13)CNC2,4.432573655147426
O=C(Nc1ccc2c(c1)CNC2)c1ccc2[nH]cc(C3CCNCC3)c2c1,4.434789929300188
N=C(N)NCCC[C@H](NC(=O)c1nccs1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C(N)=O)c1ccc(OCc2ccc(C(F)(F)F)cc2)cc1,5.7599502278873524
NCc1ccc([C@H]2C[C@@H]2c2cc(Cl)cc(NC(=O)OCc3ccccc3)c2)cc1,5.16285365609094
O=C(Nc1cc(Cl)cc(-c2ccc3[nH]c(C(=O)O)cc3c2)c1)OCc1ccccc1,5.160145015398115
Cc1nc2c(C(=O)Nc3ccc4c(c3)CNC4)cc(Cl)cc2[nH]1,4.573098536918337
Cc1cccc(-c2nc3c(C(=O)Nc4ccc5c(c4)CNC5)cc(Cl)cc3[nH]2)c1O,5.451119437362485
Clc1cc([C@@H]2C[C@H]2c2cccc(C3CCNCC3)c2)c2cn[nH]c2c1,5.233735909348004
Clc1cc(CNc2ccc3c(c2)CNC3)c2cn[nH]c2c1,4.411459394032273
O=C(Nc1ccc2c(c1)CNC2)c1cc(F)cc2[nH]c(-c3ccc(F)cc3)nc12,5.437707135543525
Cc1cccc(-c2nc3c(C(=O)Nc4ccc5c(c4)CNC5)cc(F)cc3[nH]2)c1,5.228853651185015
CC(C)NC(=O)[C@H](Nc1ccc2c(c1)CNC2)c1cc(Cl)cc2[nH]c(-c3ccccc3)nc12,4.834340279790506
O=C(Nc1ccc2c(c1)CNC2)c1cc(Br)cc2[nH]ccc12,4.471700487626175
OCC#C[C@H](Nc1ccc2c(c1)CNC2)c1cc(Cl)cc2[nH]ncc12,4.652084813498309
CNC(=O)[C@H](Nc1cc(Cl)cc(NC(=O)OCc2ccccc2)c1)c1cccc(-c2nn[nH]n2)c1,4.210440439055912
N=C(N)NCCC[C@H](NC(=O)c1nccs1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C(N)=O)c1ccc(OCc2ccc(C(F)(F)F)cc2)cc1,5.730720610228102
O=C(Nc1ccc2c(c1)CNC2)c1cc(Cl)cc2nn(-c3ccccc3)nc12,5.279509931549948
O=C1Cc2cc(C(=O)Nc3ccc4c(c3)CNC4)ccc2N1,4.853406897903695
N=C(N)NCCC[C@H](NC(=O)c1nccs1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C(N)=O)c1ccc(OCc2ccc(C(F)(F)F)cc2)cc1,5.573651426212493
CCc1cc(C(=O)Nc2cccc(-n3nn[nH]c3=O)c2)sc1-c1ccc(Cl)cc1,4.883990320575262
CC(C)NC(=O)[C@H](Nc1ccc2c(c1)CNC2)c1cc(Cl)cc2[nH]ncc12,4.302744495710085
N=C(N)NCCC[C@H](NC(=O)c1nccs1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C(N)=O)c1ccc(OCc2ccc(C(F)(F)F)cc2)cc1,5.941953769604718
Cc1c(C(=O)Nc2cc(-c3cccnc3)ccn2)cc(C2CC2)n1C,5.165642887281595
N#Cc1cccc(-c2nc3c(C(=O)Nc4ccc5c(c4)CNC5)cc(F)cc3[nH]2)c1,5.543482142194737
